Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Kenya,Mozambique,2010,EXPIMP,Textiles and Clothing,712.06,638.13,7.29,5.15,3.2,-17.42,7.76,35.0,25.09,2.0,50.0,0.0,0.0,50.0,45.0,25.0,0.0,638.13,0.0,35.0,25.09,2.0,50.0,0.0,0.0,50.0,45.0,25.0,0.0,638.13,0.0
Kenya,Mauritius,2010,EXPIMP,Textiles and Clothing,65.9,154.02,0.35,0.42,0.02,8.17,101.05,0.0,0.0,11.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,154.02,26.82,25.34,11.0,90.91,0.0,0.0,9.09,45.0,25.0,0.0,154.02,0.0
Kenya,Malawi,2010,EXPIMP,Textiles and Clothing,3277.74,11.29,6.09,0.17,1.08,-1.16,-0.4,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.29,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,11.29,0.0
Kenya,Malaysia,2010,EXPIMP,Textiles and Clothing,15.27,1035.1,0.25,1.11,9.61,,,22.93,27.21,53.0,92.45,5.66,0.0,1.89,50.0,0.0,0.0,1028.12,6.98,22.93,27.21,53.0,92.45,5.66,0.0,1.89,50.0,0.0,0.0,1028.12,6.98
Kenya,Namibia,2010,EXPIMP,Textiles and Clothing,1.53,3.55,0.09,0.08,0.17,-6.19,-5.87,35.0,44.62,2.0,50.0,0.0,0.0,50.0,45.0,25.0,0.0,3.55,0.0,35.0,44.62,2.0,50.0,0.0,0.0,50.0,45.0,25.0,0.0,3.55,0.0
Kenya,Niger,2010,EXPIMP,Textiles and Clothing,324.91,38.1,37.15,66.8,7.85,-17.51,296.73,27.5,27.82,2.0,50.0,0.0,0.0,50.0,45.0,10.0,0.0,38.1,0.0,27.5,27.82,2.0,50.0,0.0,0.0,50.0,45.0,10.0,0.0,38.1,0.0
Kenya,Nigeria,2010,EXPIMP,Textiles and Clothing,2038.29,67.55,10.14,4.26,,,,29.06,30.95,11.0,81.82,9.09,0.0,9.09,50.0,0.0,0.0,47.01,20.54,29.06,30.95,11.0,81.82,9.09,0.0,9.09,50.0,0.0,0.0,47.01,20.54
Kenya,Netherlands,2010,EXPIMP,Textiles and Clothing,374.67,2998.1,0.11,1.29,0.0,3.72,-34.67,23.86,39.65,103.0,96.12,2.91,0.0,0.97,50.0,0.0,0.0,2834.8,163.3,23.86,39.65,103.0,96.12,2.91,0.0,0.97,50.0,0.0,0.0,2834.8,163.3
Kenya,Norway,2010,EXPIMP,Textiles and Clothing,3.07,277.01,0.02,0.96,0.01,,,22.73,38.24,11.0,90.91,0.0,0.0,9.09,45.0,10.0,0.0,277.01,0.0,22.73,38.24,11.0,90.91,0.0,0.0,9.09,45.0,10.0,0.0,277.01,0.0
Kenya,Nepal,2010,EXPIMP,Textiles and Clothing,0.0,5.3,,96.7,1.65,5.11,-55.76,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,5.3,0.0,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,5.3,0.0
Kenya,New Zealand,2010,EXPIMP,Textiles and Clothing,44.65,2.96,2.95,0.03,0.07,8.44,-3.17,26.0,40.69,5.0,80.0,0.0,0.0,20.0,45.0,10.0,0.0,2.96,0.0,26.0,40.69,5.0,80.0,0.0,0.0,20.0,45.0,10.0,0.0,2.96,0.0
Kenya,"Other Asia, nes",2010,EXPIMP,Textiles and Clothing,35.59,21400.76,3.2,27.12,0.68,14.98,-13.19,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Oman,2010,EXPIMP,Textiles and Clothing,3.04,5.69,0.02,0.03,0.01,,,27.86,36.6,7.0,85.71,0.0,0.0,14.29,45.0,25.0,0.0,5.69,0.0,27.86,36.6,7.0,85.71,0.0,0.0,14.29,45.0,25.0,0.0,5.69,0.0
Kenya,Pakistan,2010,EXPIMP,Textiles and Clothing,1603.37,11693.05,0.7,11.29,0.06,23.31,288.52,24.58,33.71,159.0,97.48,1.89,0.0,0.63,50.0,0.0,0.0,11680.35,12.7,24.58,33.71,159.0,97.48,1.89,0.0,0.63,50.0,0.0,0.0,11680.35,12.7
Kenya,Peru,2010,EXPIMP,Textiles and Clothing,0.0,1.08,,0.9,0.61,24.31,-24.37,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,1.08,0.0,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,1.08,0.0
Kenya,Philippines,2010,EXPIMP,Textiles and Clothing,1095.31,1130.43,27.89,14.14,0.01,6.06,-66.48,23.57,12.1,7.0,85.71,0.0,0.0,14.29,45.0,10.0,0.0,1130.43,0.0,23.57,12.1,7.0,85.71,0.0,0.0,14.29,45.0,10.0,0.0,1130.43,0.0
Kenya,Poland,2010,EXPIMP,Textiles and Clothing,0.0,1785.72,,7.7,0.33,3.13,113.1,23.57,44.29,7.0,85.71,0.0,0.0,14.29,45.0,10.0,0.0,1785.72,0.0,23.57,44.29,7.0,85.71,0.0,0.0,14.29,45.0,10.0,0.0,1785.72,0.0
Kenya,"Korea, Dem. Rep.",2010,EXPIMP,Textiles and Clothing,0.0,29.27,,14.18,,,,35.0,44.7,2.0,50.0,0.0,0.0,50.0,45.0,25.0,0.0,29.27,0.0,35.0,44.7,2.0,50.0,0.0,0.0,50.0,45.0,25.0,0.0,29.27,0.0
Kenya,Portugal,2010,EXPIMP,Textiles and Clothing,598.53,3405.9,12.03,48.73,1.26,3.22,-18.59,21.25,0.08,8.0,62.5,25.0,0.0,12.5,45.0,0.0,0.0,8.97,3396.93,21.25,0.08,8.0,62.5,25.0,0.0,12.5,45.0,0.0,0.0,8.97,3396.93
Kenya,Qatar,2010,EXPIMP,Textiles and Clothing,1.28,11.75,0.06,0.04,0.48,,,25.31,39.64,16.0,93.75,0.0,0.0,6.25,45.0,10.0,0.0,11.75,0.0,25.31,39.64,16.0,93.75,0.0,0.0,6.25,45.0,10.0,0.0,11.75,0.0
Kenya,Romania,2010,EXPIMP,Textiles and Clothing,0.0,1.15,,0.0,,,,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,1.15,0.0,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,1.15,0.0
Kenya,Russian Federation,2010,EXPIMP,Textiles and Clothing,3.43,14.72,0.01,0.01,0.0,18.26,4.02,35.0,42.39,2.0,50.0,0.0,0.0,50.0,45.0,25.0,0.0,14.72,0.0,35.0,42.39,2.0,50.0,0.0,0.0,50.0,45.0,25.0,0.0,14.72,0.0
Kenya,Rwanda,2010,EXPIMP,Textiles and Clothing,4414.14,31.18,3.32,0.58,0.4,33.02,5.11,0.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,31.18,31.67,28.13,3.0,66.67,0.0,0.0,33.33,45.0,25.0,0.0,31.18,0.0
Kenya,Saudi Arabia,2010,EXPIMP,Textiles and Clothing,3504.39,480.92,15.08,0.12,2.95,3.09,86.62,25.0,31.41,33.0,90.91,6.06,0.0,3.03,50.0,0.0,0.0,468.78,12.14,25.0,31.41,33.0,90.91,6.06,0.0,3.03,50.0,0.0,0.0,468.78,12.14
Kenya,Fm Sudan,2010,EXPIMP,Textiles and Clothing,5628.88,15.24,2.37,0.72,0.09,17.51,28.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.24,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,15.24,0.0
Kenya,Senegal,2010,EXPIMP,Textiles and Clothing,17.72,2.09,9.79,2.99,6.9,-6.38,-35.68,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,2.09,0.0,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,2.09,0.0
Kenya,"Serbia, FR(Serbia/Montenegro)",2010,EXPIMP,Textiles and Clothing,0.0,0.27,,0.8,,,,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,0.27,0.0,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,0.27,0.0
Kenya,Singapore,2010,EXPIMP,Textiles and Clothing,0.91,744.7,0.01,0.19,0.26,7.09,488.02,23.13,32.17,16.0,81.25,12.5,0.0,6.25,45.0,0.0,0.0,702.77,41.93,23.13,32.17,16.0,81.25,12.5,0.0,6.25,45.0,0.0,0.0,702.77,41.93
Kenya,Sierra Leone,2010,EXPIMP,Textiles and Clothing,44.18,1.04,6.27,1.3,,,,30.0,41.71,4.0,75.0,0.0,0.0,25.0,45.0,25.0,0.0,1.04,0.0,30.0,41.71,4.0,75.0,0.0,0.0,25.0,45.0,25.0,0.0,1.04,0.0
Kenya,Somalia,2010,EXPIMP,Textiles and Clothing,3138.23,0.87,1.91,0.35,,,,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.87,0.0,25.0,25.0,1.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.87,0.0
Kenya,Slovak Republic,2010,EXPIMP,Textiles and Clothing,0.0,1.19,,0.02,0.01,-1.28,-44.62,31.67,41.95,3.0,66.67,0.0,0.0,33.33,45.0,25.0,0.0,1.19,0.0,31.67,41.95,3.0,66.67,0.0,0.0,33.33,45.0,25.0,0.0,1.19,0.0
Kenya,Slovenia,2010,EXPIMP,Textiles and Clothing,0.0,0.15,,0.01,0.08,,,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,0.15,0.0,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,0.15,0.0
Kenya,Sweden,2010,EXPIMP,Textiles and Clothing,36.78,252.13,0.11,0.35,0.01,6.56,-35.44,24.67,44.33,24.0,91.67,4.17,0.0,4.17,50.0,0.0,0.0,252.13,0.0,24.67,44.33,24.0,91.67,4.17,0.0,4.17,50.0,0.0,0.0,252.13,0.0
Kenya,Eswatini,2010,EXPIMP,Textiles and Clothing,29.43,17.21,20.34,0.03,0.98,26.3,86.38,23.75,6.08,2.0,50.0,0.0,0.0,50.0,45.0,2.5,0.0,17.21,0.0,35.0,26.68,2.0,50.0,0.0,0.0,50.0,45.0,25.0,0.0,17.21,0.0
Kenya,Seychelles,2010,EXPIMP,Textiles and Clothing,20.49,0.34,0.59,0.03,0.56,4.01,-22.35,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,45.0,45.0,1.0,0.0,0.0,0.0,100.0,45.0,45.0,0.0,0.34,0.0
Kenya,Syrian Arab Republic,2010,EXPIMP,Textiles and Clothing,299.91,72.28,23.93,15.23,9.14,-4.75,-8.52,21.76,20.77,17.0,94.12,5.88,0.0,0.0,25.0,0.0,0.0,62.02,10.26,21.76,20.77,17.0,94.12,5.88,0.0,0.0,25.0,0.0,0.0,62.02,10.26
Kenya,Thailand,2010,EXPIMP,Textiles and Clothing,16.11,10710.43,0.11,9.98,0.44,17.97,-32.45,24.47,16.86,149.0,97.32,2.01,0.0,0.67,50.0,0.0,0.0,10553.1,157.34,24.47,16.86,149.0,97.32,2.01,0.0,0.67,50.0,0.0,0.0,10553.1,157.34
